F0,F1,chi2,delta_chi2
0.000758612366939207,-3.0277430928797556e-18,251.10375280668552,176.511911369051
0.000758612370800952,-3.0277430928797556e-18,253.60150122099446,179.00965978335995
0.0007586123746626969,-3.0277430928797556e-18,256.17668571811555,181.58484428048104
0.0007586123785244419,-3.0277430928797556e-18,258.82930629571774,184.23746485808323
0.0007586123823861868,-3.0277430928797556e-18,261.55936295145153,186.96752151381702
0.0007586123862479318,-3.0277430928797556e-18,264.36685568290994,189.77501424527543
0.0007586123901096767,-3.0277430928797556e-18,267.25178448776643,192.65994305013191
0.0007586123939714218,-3.0277430928797556e-18,270.2141493636383,195.62230792600377
0.0007586123978331668,-3.0277430928797556e-18,273.2539503081319,198.66210887049738
0.0007586124016949117,-3.0277430928797556e-18,276.3711873189757,201.77934588134116
0.0007586124055566567,-3.0277430928797556e-18,279.5658603936919,204.97401895605736
0.0007586124094184016,-3.0277430928797556e-18,282.83796952994936,208.24612809231485
0.0007586124132801466,-3.0277430928797556e-18,286.18751472543113,211.59567328779661
0.0007586124171418915,-3.0277430928797556e-18,289.6144959777341,215.0226545400996
0.0007586124210036366,-3.0277430928797556e-18,293.1189132844799,218.5270718468454
0.0007586124248653815,-3.0277430928797556e-18,296.7007666433564,222.1089252057219
0.0007586124287271265,-3.0277430928797556e-18,300.3600560519505,225.76821461431598
0.0007586124325888714,-3.0277430928797556e-18,304.0967815078935,229.504940070259
0.0007586124364506164,-3.0277430928797556e-18,307.9109430088267,233.31910157119216
0.0007586124403123613,-3.0277430928797556e-18,311.8025405524232,237.21069911478867
0.0007586124441741063,-3.0277430928797556e-18,315.7715741362881,241.1797326986536
0.0007586124480358513,-3.0277430928797556e-18,319.818043758012,245.22620232037747
0.0007586124518975963,-3.0277430928797556e-18,323.9419494153467,249.35010797771218
0.0007586124557593413,-3.0277430928797556e-18,328.1432911058369,253.5514496682024
0.0007586124596210862,-3.0277430928797556e-18,332.4220688270807,257.8302273894462
