# F0, F1, chi2
0.0007586120775917226,-6.055486185759511e-18,549.6729737925026
0.0007586120861162881,-6.055486185759511e-18,537.813172662464
0.0007586120946408536,-6.055486185759511e-18,526.0975089654125
0.0007586121031654191,-6.055486185759511e-18,514.5259826914415
0.0007586121116899846,-6.055486185759511e-18,503.0985938309953
0.0007586121202145501,-6.055486185759511e-18,491.81534237423097
0.0007586121287391156,-6.055486185759511e-18,480.6762283115435
0.000758612137263681,-6.055486185759511e-18,469.6812516330897
0.0007586121457882465,-6.055486185759511e-18,458.83041232924296
0.000758612154312812,-6.055486185759511e-18,448.12371039030614
0.0007586121628373775,-6.055486185759511e-18,437.56114580645414
0.000758612171361943,-6.055486185759511e-18,427.1427185681028
0.0007586121798865084,-6.055486185759511e-18,416.8684286654036
0.0007586121884110739,-6.055486185759511e-18,406.73827608874836
0.0007586121969356393,-6.055486185759511e-18,396.7522608283097
0.0007586122054602048,-6.055486185759511e-18,386.9103828744412
0.0007586122139847703,-6.055486185759511e-18,377.2126422174663
0.0007586122225093358,-6.055486185759511e-18,367.6590388475356
0.0007586122310339013,-6.055486185759511e-18,358.2495727550906
0.0007586122395584668,-6.055486185759511e-18,348.9842439302697
0.0007586122480830323,-6.055486185759511e-18,339.86305236346624
0.0007586122566075978,-6.055486185759511e-18,330.8859980448727
0.0007586122651321632,-6.055486185759511e-18,322.0530809647974
0.0007586122736567287,-6.055486185759511e-18,313.36430111357606
0.0007586122821812942,-6.055486185759511e-18,304.81965848140965
0.0007586122907058596,-6.055486185759511e-18,296.4191530586881
0.0007586122992304251,-6.055486185759511e-18,288.1627848355576
0.0007586123077549906,-6.055486185759511e-18,280.05055380242
0.0007586123162795561,-6.055486185759511e-18,272.08245994946645
0.0007586123248041215,-6.055486185759511e-18,264.2585032670099
0.000758612333328687,-6.055486185759511e-18,256.5786837453997
0.0007586123418532525,-6.055486185759511e-18,249.04300137480806
0.000758612350377818,-6.055486185759511e-18,241.65145614560572
0.0007586123589023835,-6.055486185759511e-18,234.40404804799243
0.000758612367426949,-6.055486185759511e-18,227.30077707235137
0.0007586123759515145,-6.055486185759511e-18,220.34164320885057
0.00075861238447608,-6.055486185759511e-18,213.5266464478306
0.0007586123930006454,-6.055486185759511e-18,206.85578677961098
0.0007586124015252108,-6.055486185759511e-18,200.3290641944043
0.0007586124100497763,-6.055486185759511e-18,193.94647868255393
0.0007586124185743418,-6.055486185759511e-18,187.708030234273
0.0007586124270989073,-6.055486185759511e-18,181.61371883993095
0.0007586124356234728,-6.055486185759511e-18,175.66354448971174
0.0007586124441480383,-6.055486185759511e-18,169.857507173947
0.0007586124526726038,-6.055486185759511e-18,164.19560688295965
0.0007586124611971692,-6.055486185759511e-18,158.67784360694895
0.0007586124697217347,-6.055486185759511e-18,153.30421733627003
0.0007586124782463002,-6.055486185759511e-18,148.07472806113626
0.0007586124867708657,-6.055486185759511e-18,142.9893757719042
0.0007586124952954312,-6.055486185759511e-18,138.04816045878238
0.0007586125038199967,-6.055486185759511e-18,133.25108211208916
0.0007586125123445622,-6.055486185759511e-18,128.59814072213823
0.0007586125208691275,-6.055486185759511e-18,124.08933627914597
0.000758612529393693,-6.055486185759511e-18,119.7246687734602
0.0007586125379182585,-6.055486185759511e-18,115.50413819530338
0.000758612546442824,-6.055486185759511e-18,111.42774453500046
0.0007586125549673895,-6.055486185759511e-18,107.49548778279161
0.000758612563491955,-6.055486185759511e-18,103.70736792899534
0.0007586125720165205,-6.055486185759511e-18,100.06338496389488
0.000758612580541086,-6.055486185759511e-18,96.56353887774006
0.0007586125890656514,-6.055486185759511e-18,93.20782966085866
0.0007586125975902169,-6.055486185759511e-18,89.99625730347995
0.0007586126061147824,-6.055486185759511e-18,86.92882179593296
0.0007586126146393479,-6.055486185759511e-18,84.00552312846239
0.0007586126231639134,-6.055486185759511e-18,81.22636129136949
0.0007586126316884788,-6.055486185759511e-18,78.5913362749455
0.0007586126402130443,-6.055486185759511e-18,76.10044806944619
0.0007586126487376097,-6.055486185759511e-18,73.75369666518728
0.0007586126572621752,-6.055486185759511e-18,71.5510820524118
0.0007586126657867407,-6.055486185759511e-18,69.49260422143583
0.0007586126743113062,-6.055486185759511e-18,67.57826316251602
0.0007586126828358717,-6.055486185759511e-18,65.80805886594344
0.0007586126913604372,-6.055486185759511e-18,64.1819913220128
0.0007586126998850027,-6.055486185759511e-18,62.70006052098953
0.0007586127084095682,-6.055486185759511e-18,61.362266453167834
0.0007586127169341336,-6.055486185759511e-18,60.16860910881456
0.0007586127254586991,-6.055486185759511e-18,59.11908847822396
0.0007586127339832646,-6.055486185759511e-18,58.213704551674475
0.00075861274250783,-6.055486185759511e-18,57.45245731945125
0.0007586127510323955,-6.055486185759511e-18,56.83534677182751
0.000758612759556961,-6.055486185759511e-18,56.36237289909588
0.0007586127680815265,-6.055486185759511e-18,56.03353569153185
0.0007586127766060919,-6.055486185759511e-18,55.848835139417616
0.0007586127851306574,-6.055486185759511e-18,55.808271233040024
0.0007586127936552229,-6.055486185759511e-18,55.91184396267604
0.0007586128021797884,-6.055486185759511e-18,56.15955331860761
0.0007586128107043539,-6.055486185759511e-18,56.55139929112259
0.0007586128192289194,-6.055486185759511e-18,57.08738187049877
0.0007586128277534849,-6.055486185759511e-18,57.76750104701257
0.0007586128362780504,-6.055486185759511e-18,58.59175681095809
0.0007586128448026158,-6.055486185759511e-18,59.56014915260364
0.0007586128533271812,-6.055486185759511e-18,60.67267806224827
0.0007586128618517467,-6.055486185759511e-18,61.929343530155556
