"source","radio","association","class","distance(kpc)","l(deg)","b(deg)","period(s)","pdot(1e-11s/s)","pdot_ul","Bp(e14G)","B_ul","Edot(e33erg/s)","Edot_ul","tau_c(kyr)","tauc_lowlim","tau_real(kyr)","ref_age_real","luminosity_bol_qui(e33erg/s)","lum_ul","kT_min","Err_kT_min","kT_min_ul","lumin_peak","kT_max","Err_kT_max","kT_max_ul","Unnamed: 27"
"PSRJ1622-4950","True","","Magnetar","9","333.849035","-0.101993","4.3261","1.7","","5.4","","8.3","","4","","","","0.44","True","","","","350","","","",""
"SwiftJ1818.0-1607","True","","Magnetar","4.8","14.81535","-0.13808800000000002","1.36","5","","5","","720","","0.47","","","","6.5","True","","","","70","","","",""
"SGRJ1830-0645","","","Magnetar","10","24.55392","1.501437","10.41572","0.79","","5.8","","0.28","","20.7","","","","20","True","0.3","0.01","True","600","1.1","0.1","",""
"3XMMJ1852+0033","","","Magnetar","7.1","33.578554","-0.045068","11.55871346","0.014","True","0.82","True","0.0036","True","1300","True","","","0.006","True","","","","0","","","",""
"SwiftJ1555.2-5402","","","Magnetar","5","327.872705","-0.334518","3.861001597639","2.2","","5.8","","15","","2.8","","","","150","True","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSRJ0726-2612","True","","RPP","1","240.079247","-4.644334","3.44","0.03","","0.64","","0.25","","190","","","","0.224463","","0.07400000000000001","0.0011","","","","","",""
"PSRJ1819-1458","True","RRAT","RPP","3.6","16.019002","0.080346","4.263","0.057","","1","","0.32","","120","","","","4.90753","","","","","","","","",""
"PSRJ1718-3718","True","","RPP","4.5","349.848963","0.215121","3.378","0.16","","1.5","","1.58","","33","","","","0.49163199999999996","","","","","","","","",""
"1RXSJ1412+7922","","Calvera","RPP","0.3","","","0.059000000000000004","0.000319","","0.0088","","610","","290","","","","0.0138213","","0.25","0.01","","","","","",""
"PSRJ1709-4429","True","SNR G343.1-2.3","RPP","2.3","","","0.102","0.009298","","0.0622","","3400","","17","","","","0.282168","","0.18","0.04","","","","","",""
"PSRJ0538+2817","True","SNR S147","RPP","1.3","179.718198","-1.685636","0.14300000000000002","0.00037","","0.015","","50.12","","620","","40","SNR","0.372123","","","","","","","","",""
