NAME;PSRJ;P0;P1;BINARY;PB;DIST;ASSOC;AGE;BSURF;EDOT
1746;B1555-55;J1559-5545;0.957267;1.99E-14;*;*;4.133;*;7.62E+05;4.42E+12;8.96E+32
1284;J1901+0510;J1901+0510;0.614757;3.11E-14;*;*;5.919;*;3.13E+05;4.42E+12;5.28E+33
2316;J1835-0600;J1835-0600;2.221787;8.43E-15;*;*;10.644;*;4.18E+06;4.38E+12;3.03E+31
2113;J1746-2849;J1746-2849;1.47848;1.27E-14;*;*;8.217;*;1.84E+06;4.38E+12;1.55E+32
174;J1418-6058;J1418-6058;0.110573;1.69E-13;*;*;1.885;GRS:2FGL_J1418.7-6058[naa+12],GRS:HESS_J;1.03E+04;4.38E+12;4.95E+36
2419;J1236-0159;J1236-0159;3.597574;5.10E-15;*;*;2.039;*;1.12E+07;4.34E+12;4.33E+30
1628;J1835-0924;J1835-0924;0.859192;2.14E-14;*;*;5.043;*;6.36E+05;4.34E+12;1.33E+33
1840;J1622-4944;J1622-4944;1.072968;1.71E-14;*;*;5.412;*;9.95E+05;4.33E+12;5.46E+32
2300;J1519-6106;J1519-6106;2.154307;8.37E-15;*;*;5.047;*;4.08E+06;4.30E+12;3.31E+31
2450;J1945+1211;J1945+1211;4.756796;3.78E-15;*;*;3.771;*;1.99E+07;4.29E+12;1.39E+30
532;J1601-5335;J1601-5335;0.288479;6.23E-14;*;*;3.576;*;7.33E+04;4.29E+12;1.03E+35
205;B1800-21;J1803-2137;0.133667;1.34E-13;*;*;4.4;SNR:G8.7-0.1(?)[kw90],GRS:J1804-216(?)[a;1.58E+04;4.29E+12;2.22E+36
182;J1844-0346;J1844-0346;0.112855;1.55E-13;*;*;*;GRS:3FGL_J1844.3-0344[aaa+15],XRS:1SXPS_;1.16E+04;4.23E+12;4.25E+36
2416;J1746+2245;J1746+2245;3.465038;4.92E-15;*;*;6.831;*;1.12E+07;4.18E+12;4.67E+30
2242;J1741-3016;J1741-3016;1.893749;8.99E-15;*;*;3.87;*;3.34E+06;4.18E+12;5.23E+31
1966;B1334-61;J1338-6204;1.239001;1.38E-14;*;*;12.363;*;1.42E+06;4.18E+12;2.86E+32
1851;B1550-54;J1553-5456;1.081347;1.57E-14;*;*;3.786;*;1.09E+06;4.17E+12;4.91E+32
2264;J1738-2330;J1738-2330;1.978847;8.56E-15;*;*;2.87;*;3.66E+06;4.16E+12;4.36E+31
2007;B0105+65;J0108+6608;1.28366;1.31E-14;*;*;2.128;*;1.56E+06;4.14E+12;2.44E+32
858;B1855+02;J1857+0212;0.415823;4.03E-14;*;*;8;*;1.64E+05;4.14E+12;2.21E+34
2374;J1910+0714;J1910+0714;2.712423;6.12E-15;*;*;3.679;*;7.02E+06;4.12E+12;1.21E+31
2005;J1609-5158;J1609-5158;1.279402;1.30E-14;*;*;6.477;*;1.56E+06;4.12E+12;2.44E+32
1624;J1705-3936;J1705-3936;0.854482;1.93E-14;*;*;9.673;*;7.03E+05;4.11E+12;1.22E+33
1498;J1849+0409;J1849+0409;0.761194;2.16E-14;*;*;1.671;*;5.59E+05;4.10E+12;1.93E+33
1788;J1525-5417;J1525-5417;1.011694;1.62E-14;*;*;4.88;*;9.91E+05;4.09E+12;6.17E+32
892;J1812-1910;J1812-1910;0.430991;3.77E-14;*;*;5.922;*;1.81E+05;4.08E+12;1.86E+34
2267;J1634-4229;J1634-4229;2.015263;8.01E-15;*;*;18.861;*;3.99E+06;4.07E+12;3.86E+31
2389;J1937+1505;J1937+1505;2.872774;5.61E-15;*;*;6.45;*;8.11E+06;4.06E+12;9.34E+30
1418;B0502-66;J0502-6617;0.691251;2.31E-14;*;*;49.7;EXGAL:LMC;4.74E+05;4.04E+12;2.76E+33
196;B1757-24;J1801-2451;0.124924;1.28E-13;*;*;3.803;SNR:G5.4-1.2[fk91],XRS:PWN[kggl01];1.55E+04;4.04E+12;2.59E+36
2322;B2319+60;J2321+6024;2.256488;7.04E-15;*;*;2.7;*;5.08E+06;4.03E+12;2.42E+31
254;J2238+5903;J2238+5903;0.162734;9.70E-14;*;*;2.83;GRS:2FGL_J2238.4+5902[naa+12];2.66E+04;4.02E+12;8.89E+35
1698;B1805-20;J1808-2057;0.91841;1.71E-14;*;*;4.582;*;8.52E+05;4.01E+12;8.70E+32
2415;J1854-1557;J1854-1557;3.453121;4.52E-15;*;*;10.896;*;1.21E+07;4.00E+12;4.33E+30
2387;J1831-1223;J1831-1223;2.857941;5.47E-15;*;*;4.875;*;8.27E+06;4.00E+12;9.26E+30
1822;J1632-4509;J1632-4509;1.04681;1.49E-14;*;*;11.498;*;1.11E+06;3.99E+12;5.12E+32
1490;J1909+0616;J1909+0616;0.755993;2.06E-14;*;*;9.559;*;5.82E+05;3.99E+12;1.88E+33
2458;J1951+1123;J1951+1123;5.094083;3.03E-15;*;*;1.513;*;2.66E+07;3.98E+12;9.05E+29
2019;B1236-68;J1239-6832;1.301923;1.19E-14;*;*;1.575;*;1.74E+06;3.98E+12;2.13E+32
1810;J1725-3546;J1725-3546;1.032471;1.50E-14;*;*;4.799;*;1.09E+06;3.98E+12;5.38E+32
327;J1815-1738;J1815-1738;0.198457;7.78E-14;*;*;4.887;*;4.04E+04;3.98E+12;3.93E+35
1731;B2351+61;J2354+6155;0.944784;1.63E-14;*;*;2.439;*;9.20E+05;3.97E+12;7.61E+32
1613;J1855+0307;J1855+0307;0.845348;1.81E-14;*;*;5.94;*;7.40E+05;3.96E+12;1.18E+33
1152;J1731-3322;J1731-3322;0.544671;2.81E-14;*;*;5.552;*;3.07E+05;3.96E+12;6.86E+33
1144;J1849+0127;J1849+0127;0.542155;2.80E-14;*;*;4.691;*;3.07E+05;3.94E+12;6.93E+33
1380;B0940-55;J0942-5552;0.664389;2.27E-14;*;*;0.3;*;4.64E+05;3.93E+12;3.05E+33
1768;B0529-66;J0529-6652;0.975737;1.55E-14;*;*;49.7;EXGAL:LMC;9.99E+05;3.93E+12;6.58E+32
1959;J1048-5838;J1048-5838;1.231305;1.22E-14;*;*;1.008;*;1.60E+06;3.92E+12;2.58E+32
1943;B2027+37;J2029+3744;1.216805;1.23E-14;*;*;5.771;*;1.56E+06;3.92E+12;2.70E+32
1860;J1845-0545;J1845-0545;1.092348;1.34E-14;*;*;5.471;*;1.29E+06;3.88E+12;4.07E+32
1388;J1849-0317;J1849-0317;0.668408;2.20E-14;*;*;1.266;*;4.81E+05;3.88E+12;2.91E+33
1575;B1011-58;J1012-5857;0.819926;1.78E-14;*;*;3.185;*;7.30E+05;3.87E+12;1.27E+33
2168;J1848-0511;J1848-0511;1.637129;8.86E-15;*;*;8.799;*;2.93E+06;3.85E+12;7.97E+31
470;J2021+4026;J2021+4026;0.265318;5.47E-14;*;*;2.15;GRS:2FGL_J2021.5+4026[naa+12],SNR:G78.2+;7.69E+04;3.85E+12;1.16E+35
2314;J1920+1040;J1920+1040;2.215802;6.48E-15;*;*;10.151;*;5.42E+06;3.83E+12;2.35E+31
498;J1638-4608;J1638-4608;0.278155;5.15E-14;*;*;4.57;*;8.56E+04;3.83E+12;9.44E+34
1609;B1358-63;J1401-6357;0.842805;1.68E-14;*;*;1.8;*;7.94E+05;3.81E+12;1.11E+33
999;J0627+0706;J0627+0706;0.475885;2.98E-14;*;*;2.289;*;2.53E+05;3.81E+12;1.09E+34
1855;J1621-5039;J1621-5039;1.08402;1.30E-14;*;*;3.917;*;1.32E+06;3.80E+12;4.04E+32
1597;J1913+1000;J1913+1000;0.837148;1.67E-14;*;*;7.671;*;7.92E+05;3.79E+12;1.13E+33
58;B0531+21;J0534+2200;0.033392;4.21E-13;*;*;2;SNR:PWN:Crab[ccl+69],GRS:2FGL_J0534.5+22;1.26E+03;3.79E+12;4.46E+38
2246;J1538-5621;J1538-5621;1.908494;7.31E-15;*;*;3.313;*;4.14E+06;3.78E+12;4.15E+31
1677;B1707-53;J1711-5350;0.899233;1.55E-14;*;*;4.498;*;9.17E+05;3.78E+12;8.44E+32
1930;B1848+12;J1851+1259;1.205303;1.15E-14;*;*;2.644;*;1.66E+06;3.77E+12;2.60E+32
2380;J1807-2557;J1807-2557;2.764195;4.99E-15;*;*;18.556;*;8.77E+06;3.76E+12;9.33E+30
1656;J1901+0459;J1901+0459;0.877044;1.57E-14;*;*;12.063;*;8.86E+05;3.75E+12;9.18E+32
883;J1305-6203;J1305-6203;0.427774;3.22E-14;*;*;11.6;*;2.11E+05;3.75E+12;1.62E+34
2133;J1730-2900;J1730-2900;1.538427;8.85E-15;*;*;12.054;*;2.75E+06;3.73E+12;9.60E+31
1749;J1852+0013;J1852+0013;0.957751;1.40E-14;*;*;5.581;*;1.08E+06;3.71E+12;6.31E+32
816;J1853+0011;J1853+0011;0.397889;3.35E-14;*;*;5.815;*;1.88E+05;3.70E+12;2.10E+34
173;J1826-1256;J1826-1256;0.110224;1.21E-13;*;*;1.55;GRS:2FGL_J1826.1-1256[naa+12],XRS:AXJ182;1.44E+04;3.70E+12;3.58E+36
1478;J1550-5242;J1550-5242;0.749659;1.78E-14;*;*;5.644;*;6.68E+05;3.69E+12;1.67E+33
726;J1903+0925;J1903+0925;0.357155;3.69E-14;*;*;6.256;*;1.53E+05;3.67E+12;3.20E+34
1841;J0820-3921;J0820-3921;1.073567;1.22E-14;*;*;3.576;*;1.40E+06;3.66E+12;3.88E+32
1576;J1602-4957;J1602-4957;0.81999;1.59E-14;*;*;6.029;*;8.15E+05;3.66E+12;1.14E+33
1223;B1626-47;J1630-4733;0.575971;2.23E-14;*;*;4.996;*;4.09E+05;3.63E+12;4.60E+33
2433;J2111+2106;J2111+2106;3.953853;3.24E-15;*;*;8.408;*;1.93E+07;3.62E+12;2.07E+30
2373;J1839-0332;J1839-0332;2.675682;4.76E-15;*;*;4.042;*;8.91E+06;3.61E+12;9.81E+30
111;J0205+6449;J0205+6449;0.065716;1.94E-13;*;*;3.2;SNR:PWN:3C58,GRS:2FGL_J0205.8+6448[naa+1;5.37E+03;3.61E+12;2.70E+37
653;J1820-1529;J1820-1529;0.333254;3.79E-14;*;*;5.195;*;1.39E+05;3.60E+12;4.04E+34
2151;J1647+6608;J1647+6608;1.599798;7.84E-15;*;*;2.061;*;3.23E+06;3.58E+12;7.56E+31
101;J1833-1034;J1833-1034;0.061884;2.02E-13;*;*;4.1;SNR:G21.5-0.9[gmga05],GRS:2FGL_J1833.6-1;4.85E+03;3.58E+12;3.37E+37
2404;J0633-2015;J0633-2015;3.253211;3.82E-15;*;*;3.676;*;1.35E+07;3.57E+12;4.38E+30
1443;J2001+4258;J2001+4258;0.719166;1.73E-14;*;*;3.757;*;6.58E+05;3.57E+12;1.84E+33
577;B1832-06;J1835-0643;0.30583;4.05E-14;*;*;5.041;*;1.20E+05;3.56E+12;5.58E+34
1309;J1341-6023;J1341-6023;0.627285;1.95E-14;*;*;7.278;*;5.11E+05;3.54E+12;3.11E+33
2262;J1837+1221;J1837+1221;1.963532;6.20E-15;*;*;6.603;*;5.02E+06;3.53E+12;3.23E+31
2331;J2105+6223;J2105+6223;2.304879;5.22E-15;*;*;2.723;*;7.00E+06;3.51E+12;1.68E+31
2269;J1432-5032;J1432-5032;2.034989;5.92E-15;*;*;5.28;*;5.44E+06;3.51E+12;2.78E+31
1816;J1906+0414;J1906+0414;1.043362;1.15E-14;*;*;10.069;*;1.44E+06;3.50E+12;3.98E+32
1376;J1841-0157;J1841-0157;0.663321;1.81E-14;*;*;7.93;*;5.81E+05;3.50E+12;2.45E+33
1400;J0522-6847;J0522-6847;0.674532;1.77E-14;*;*;49.7;EXGAL:LMC;6.03E+05;3.50E+12;2.28E+33
363;J0248+6021;J0248+6021;0.217094;5.51E-14;*;*;2;GRS:2FGL_J0248.1+6021[naa+12];6.24E+04;3.50E+12;2.13E+35
2098;B1907+12;J1910+1231;1.441742;8.23E-15;*;*;8.139;*;2.78E+06;3.49E+12;1.08E+32
1881;J1809-1850;J1809-1850;1.124481;1.06E-14;*;*;4.667;*;1.68E+06;3.49E+12;2.94E+32
194;B1046-58;J1048-5832;0.123725;9.61E-14;*;*;2.9;GRS:2FGL_J1048.2-5831[naa+12];2.04E+04;3.49E+12;2.00E+36
1824;B1523-55;J1527-5552;1.048719;1.13E-14;*;*;5.32;*;1.47E+06;3.48E+12;3.86E+32
1732;J1746-2856;J1746-2856;0.945224;1.25E-14;*;*;8.149;*;1.20E+06;3.48E+12;5.84E+32
1239;J1224-6208;J1224-6208;0.585761;2.02E-14;*;*;9.876;*;4.60E+05;3.48E+12;3.97E+33
342;J1841-0345;J1841-0345;0.204068;5.79E-14;*;*;3.776;*;5.59E+04;3.48E+12;2.69E+35
214;B1727-33;J1730-3350;0.13946;8.48E-14;*;*;3.488;*;2.60E+04;3.48E+12;1.23E+36
1350;B1937+24;J1939+2449;0.645302;1.83E-14;*;*;7.115;*;5.60E+05;3.47E+12;2.68E+33
662;J1908+0909;J1908+0909;0.336555;3.49E-14;*;*;8.906;*;1.53E+05;3.47E+12;3.61E+34
1420;J1758-1931;J1758-1931;0.692552;1.69E-14;*;*;4.544;*;6.49E+05;3.46E+12;2.01E+33
356;J1406-6121;J1406-6121;0.213075;5.47E-14;*;*;7.297;*;6.17E+04;3.45E+12;2.23E+35
1106;J1842-0415;J1842-0415;0.526682;2.19E-14;*;*;3.635;*;3.80E+05;3.44E+12;5.93E+33
2131;J1614-5144;J1614-5144;1.534008;7.44E-15;*;*;6.129;*;3.27E+06;3.42E+12;8.14E+31
2166;J1855+0306;J1855+0306;1.633565;6.97E-15;*;*;7.479;*;3.71E+06;3.41E+12;6.31E+31
1317;J1716-3720;J1716-3720;0.630314;1.80E-14;*;*;5.375;*;5.56E+05;3.41E+12;2.83E+33
2205;J1931+1439;J1931+1439;1.779226;6.33E-15;*;*;6.123;*;4.45E+06;3.40E+12;4.44E+31
2041;J1643-4522;J1643-4522;1.347899;8.28E-15;*;*;4.615;*;2.58E+06;3.38E+12;1.34E+32
140;B0833-45;J0835-4510;0.089328;1.25E-13;*;*;0.28;SNR:Vela,GRS:2FGL_J0835.3-4510[naa+12],G;1.13E+04;3.38E+12;6.92E+36
2137;J1244-6531;J1244-6531;1.546819;7.18E-15;*;*;10.862;*;3.41E+06;3.37E+12;7.66E+31
2258;J1433-6038;J1433-6038;1.95443;5.63E-15;*;*;6.221;*;5.50E+06;3.36E+12;2.98E+31
861;J1839-0905;J1839-0905;0.418975;2.60E-14;*;*;6.815;*;2.55E+05;3.34E+12;1.40E+34
1901;J1210-6322;J1210-6322;1.163186;9.25E-15;*;*;9.548;*;1.99E+06;3.32E+12;2.32E+32
2398;J1653-4854;J1653-4854;3.05951;3.45E-15;*;*;15.188;*;1.41E+07;3.29E+12;4.76E+30
1956;J1708-3827;J1708-3827;1.225782;8.60E-15;*;*;20.594;*;2.26E+06;3.29E+12;1.84E+32
2337;B1907+03;J1910+0358;2.330263;4.47E-15;*;*;2.859;*;8.26E+06;3.27E+12;1.39E+31
1750;J1847-0438;J1847-0438;0.957991;1.09E-14;*;*;4.378;*;1.39E+06;3.27E+12;4.91E+32
1229;B1924+16;J1926+1648;0.579823;1.80E-14;*;*;6;*;5.11E+05;3.27E+12;3.64E+33
499;J1715-3903;J1715-3903;0.278494;3.74E-14;*;*;3.737;*;1.18E+05;3.27E+12;6.84E+34
1776;J1556-5358;J1556-5358;0.994681;1.04E-14;*;*;5.02;*;1.51E+06;3.26E+12;4.18E+32
2249;J1821-1432;J1821-1432;1.915131;5.37E-15;*;*;4.54;*;5.65E+06;3.25E+12;3.02E+31
2289;B1823-11;J1826-1131;2.093136;4.91E-15;*;*;3.976;*;6.75E+06;3.24E+12;2.11E+31
2212;J0733-2345;J0733-2345;1.79625;5.70E-15;*;*;4.184;*;4.99E+06;3.24E+12;3.89E+31
1584;B1804-27;J1807-2715;0.827776;1.22E-14;*;*;15.364;*;1.08E+06;3.21E+12;8.47E+32
2183;B0059+65;J0102+6537;1.679164;5.95E-15;*;*;2.5;*;4.47E+06;3.20E+12;4.97E+31
1117;B1323-62;J1327-6222;0.529929;1.88E-14;*;*;4;*;4.47E+05;3.19E+12;4.99E+33
162;J2021+3651;J2021+3651;0.103741;9.57E-14;*;*;1.8;GRS:AGL_J2020.5+3653[hcg+08],GRS:2FGL_J2;1.72E+04;3.19E+12;3.38E+36
2319;J0944+4106;J0944+4106;2.229431;4.42E-15;*;*;2.673;*;7.99E+06;3.18E+12;1.57E+31
1114;B1736-31;J1739-3131;0.529441;1.86E-14;*;*;4.411;*;4.51E+05;3.17E+12;4.94E+33
2358;J1824-0127;J1824-0127;2.49947;3.91E-15;*;*;1.871;*;1.01E+07;3.16E+12;9.88E+30
1997;B1917+00;J1919+0021;1.27226;7.67E-15;*;*;5.882;*;2.63E+06;3.16E+12;1.47E+32
2313;J1049-5833;J1049-5833;2.202325;4.41E-15;*;*;3.004;*;7.91E+06;3.15E+12;1.63E+31
1068;B0727-18;J0729-1836;0.51016;1.90E-14;*;*;2;GRS:[sbc+19];4.26E+05;3.15E+12;5.64E+33
1475;B1900+05;J1902+0556;0.746577;1.29E-14;*;*;3.6;*;9.19E+05;3.14E+12;1.22E+33
345;J1636-4440;J1636-4440;0.206649;4.67E-14;*;*;12.455;*;7.01E+04;3.14E+12;2.09E+35
902;J1946+2611;J1946+2611;0.43506;2.20E-14;*;*;7.555;*;3.14E+05;3.13E+12;1.05E+34
1271;J2007+3120;J2007+3120;0.608205;1.56E-14;*;*;6.906;*;6.18E+05;3.12E+12;2.74E+33
286;J1702-4128;J1702-4128;0.182136;5.23E-14;*;*;3.971;*;5.51E+04;3.12E+12;3.42E+35
159;B1706-44;J1709-4429;0.102459;9.30E-14;*;*;2.6;SNR:G343.1-2.3(?)[mop93],GRS:HESS_J1708-;1.75E+04;3.12E+12;3.41E+36
2248;J1839-1238;J1839-1238;1.911428;4.95E-15;*;*;3.976;*;6.12E+06;3.11E+12;2.80E+31
2311;J1850-0006;J1850-0006;2.191498;4.32E-15;*;*;5.631;SNR:G32.45+0.1(?);8.04E+06;3.11E+12;1.62E+31
1926;J1844-0302;J1844-0302;1.19863;7.81E-15;*;*;5.261;*;2.43E+06;3.10E+12;1.79E+32
116;J1617-5055;J1617-5055;0.069357;1.35E-13;*;*;4.743;GRS:J1616-508[aab+06];8.13E+03;3.10E+12;1.60E+37
1201;J1617-4608;J1617-4608;0.56708;1.65E-14;*;*;11.077;*;5.46E+05;3.09E+12;3.56E+33
1130;J1843-0806;J1843-0806;0.536414;1.74E-14;*;*;4.314;*;4.90E+05;3.09E+12;4.44E+33
2196;B1454-51;J1457-5122;1.748308;5.30E-15;*;*;0.994;*;5.23E+06;3.08E+12;3.91E+31
168;J1907+0602;J1907+0602;0.106633;8.68E-14;*;*;2.37;GRS:2FGL_J1907.9+0602[naa+12],SNR:G40.5-;1.95E+04;3.08E+12;2.83E+36
2312;J0804-3647;J0804-3647;2.191987;4.21E-15;*;*;3.355;*;8.25E+06;3.07E+12;1.58E+31
959;B1641-45;J1644-4559;0.455078;2.01E-14;*;*;4.5;*;3.59E+05;3.06E+12;8.42E+33
702;J1735-3258;J1735-3258;0.350972;2.60E-14;*;*;4.974;*;2.14E+05;3.06E+12;2.37E+34
240;J1637-4642;J1637-4642;0.154047;5.93E-14;*;*;4.41;*;4.12E+04;3.06E+12;6.40E+35
2370;J1736-2457;J1736-2457;2.642223;3.43E-15;*;*;4.498;*;1.22E+07;3.05E+12;7.34E+30
2141;B1717-16;J1720-1633;1.565601;5.80E-15;*;*;0.988;*;4.28E+06;3.05E+12;5.96E+31
184;J1135-6055;J1135-6055;0.114943;7.93E-14;*;*;*;GRS:3FGL_J1135.2-6054[aaa+15];2.30E+04;3.05E+12;2.06E+36
1533;J1800-0125;J1800-0125;0.783185;1.15E-14;*;*;1.477;*;1.08E+06;3.04E+12;9.48E+32
1821;J1513-5946;J1513-5946;1.046117;8.53E-15;*;*;3.757;*;1.94E+06;3.02E+12;2.94E+32
1320;J1857+0210;J1857+0210;0.630983;1.40E-14;*;*;7.259;*;7.12E+05;3.01E+12;2.21E+33
1848;B1920+21;J1922+2110;1.077924;8.18E-15;*;*;4;*;2.09E+06;3.00E+12;2.58E+32
964;J1613-5211;J1613-5211;0.457502;1.92E-14;*;*;4.718;*;3.77E+05;3.00E+12;7.93E+33
721;J1528-5838;J1528-5838;0.355687;2.48E-14;*;*;*;GRS:3FGL_J1528.3-5836[aaa+15];2.28E+05;3.00E+12;2.17E+34
2402;J1148-6415;J1148-6415;3.241029;2.70E-15;*;*;2.454;*;1.90E+07;2.99E+12;3.13E+30
1565;J1759-2302;J1759-2302;0.810718;1.07E-14;*;*;5.782;*;1.20E+06;2.99E+12;7.96E+32
508;J1327-6400;J1327-6400;0.280678;3.12E-14;*;*;12.991;*;1.43E+05;2.99E+12;5.57E+34
2000;B0834+06;J0837+0610;1.273768;6.80E-15;*;*;0.19;*;2.97E+06;2.98E+12;1.30E+32
170;J1016-5857;J1016-5857;0.107386;8.08E-14;*;*;3.163;SNR:G284.3-1.8(?);2.10E+04;2.98E+12;2.58E+36
1274;J1347-5947;J1347-5947;0.609962;1.42E-14;*;*;6.285;*;6.82E+05;2.97E+12;2.46E+33
692;J0905-5127;J0905-5127;0.346301;2.49E-14;*;*;1.33;*;2.21E+05;2.97E+12;2.36E+34
2201;J0335+6623;J0335+6623;1.761934;4.81E-15;*;*;1.907;*;5.80E+06;2.95E+12;3.47E+31
1063;B1842-02;J1844-0244;0.507722;1.67E-14;*;*;4.92;*;4.81E+05;2.95E+12;5.05E+33
652;J0622+3749;J0622+3749;0.333208;2.54E-14;*;*;*;GRS:2FGL_J0621.9+3750;2.08E+05;2.95E+12;2.71E+34
2129;J1907+0859;J1907+0859;1.527042;5.54E-15;*;*;4.989;*;4.36E+06;2.94E+12;6.15E+31
2326;B1118-79;J1119-7936;2.280597;3.67E-15;*;*;0.814;*;9.85E+06;2.93E+12;1.22E+31
1541;J1903+0654;J1903+0654;0.791232;1.06E-14;*;*;5.923;*;1.18E+06;2.93E+12;8.44E+32
226;B1930+22;J1932+2220;0.14447;5.76E-14;*;*;10.9;GRS:[sbc+19];3.98E+04;2.92E+12;7.54E+35
2315;J1848+0604;J1848+0604;2.218603;3.74E-15;*;*;12.6;*;9.41E+06;2.91E+12;1.35E+31
1629;J1840-0559;J1840-0559;0.859368;9.60E-15;*;*;4.236;*;1.42E+06;2.91E+12;5.97E+32
1200;J1535-5450;J1535-5450;0.566734;1.43E-14;*;*;3.946;*;6.26E+05;2.88E+12;3.11E+33
93;J1747-2809;J1747-2809;0.052153;1.56E-13;*;*;8.141;XRS:CXOU_J174722.8-280915,SNR:G0.9+0.1;5.31E+03;2.88E+12;4.33E+37
2177;B2241+69;J2242+6950;1.664501;4.82E-15;*;*;2.008;*;5.47E+06;2.87E+12;4.13E+31
1311;B1729-41;J1732-4128;0.627981;1.28E-14;*;*;7.235;*;7.75E+05;2.87E+12;2.05E+33
217;J1015-5719;J1015-5719;0.139882;5.74E-14;*;*;2.732;*;3.86E+04;2.87E+12;8.27E+35
1993;B0853-33;J0855-3331;1.267536;6.32E-15;*;*;0.503;*;3.18E+06;2.86E+12;1.23E+32
1702;J1913+1330;J1913+1330;0.923391;8.68E-15;*;*;6.179;*;1.69E+06;2.86E+12;4.35E+32
374;J1909+0912;J1909+0912;0.222949;3.58E-14;*;*;7.608;*;9.87E+04;2.86E+12;1.28E+35
1961;J0647+0913;J0647+0913;1.234854;6.42E-15;*;*;2.666;*;3.05E+06;2.85E+12;1.35E+32
1187;J1630-4719;J1630-4719;0.559071;1.42E-14;*;*;5.444;*;6.25E+05;2.85E+12;3.20E+33
1909;B1039-55;J1042-5521;1.170867;6.72E-15;*;*;2.789;*;2.76E+06;2.84E+12;1.65E+32
405;J1838-0549;J1838-0549;0.235311;3.34E-14;*;*;4.061;*;1.12E+05;2.84E+12;1.01E+35
1222;J0855-4658;J0855-4658;0.575072;1.36E-14;*;*;13.74;*;6.69E+05;2.83E+12;2.83E+33
1436;J1750-2438;J1750-2438;0.712794;1.08E-14;*;*;12.845;*;1.05E+06;2.81E+12;1.18E+33
970;J1625-4904;J1625-4904;0.460339;1.68E-14;*;*;5.251;*;4.35E+05;2.81E+12;6.78E+33
1099;J1852-0635;J1852-0635;0.524157;1.46E-14;*;*;4.515;*;5.68E+05;2.80E+12;4.01E+33
531;J1156-5707;J1156-5707;0.288417;2.65E-14;*;*;2.848;*;1.72E+05;2.80E+12;4.37E+34
156;B1823-13;J1826-1334;0.101487;7.53E-14;*;*;3.606;GRS:J1825-137[aab+06],XRS:PWN:G18.0-0.7[;2.14E+04;2.80E+12;2.84E+36
2169;B2327-20;J2330-2005;1.643622;4.63E-15;*;*;0.861;*;5.62E+06;2.79E+12;4.12E+31
1599;J1818-0151;J1818-0151;0.837535;9.11E-15;*;*;19.138;*;1.46E+06;2.79E+12;6.12E+32
213;J1044-5737;J1044-5737;0.139029;5.46E-14;*;*;1.895;GRS:2FGL_J1044.5-5737[naa+12],GRS:1AGL_J;4.03E+04;2.79E+12;8.03E+35
412;J1643-4505;J1643-4505;0.23739;3.18E-14;*;*;4.738;*;1.18E+05;2.78E+12;9.39E+34
2061;B1359-51;J1402-50;1.380182;5.41E-15;*;*;1.285;*;4.04E+06;2.77E+12;8.13E+31
2018;J1750-28;J1750-28;1.300513;5.78E-15;*;*;4.069;*;3.56E+06;2.77E+12;1.04E+32
1982;J1519-6308;J1519-6308;1.254052;5.96E-15;*;*;12.367;*;3.33E+06;2.77E+12;1.19E+32
1729;B1114-41;J1116-4122;0.943158;7.95E-15;*;*;0.28;*;1.88E+06;2.77E+12;3.74E+32
1397;J1849-0040;J1849-0040;0.672481;1.11E-14;*;*;7.776;*;9.56E+05;2.77E+12;1.45E+33
2042;J0201+7005;J0201+7005;1.349184;5.51E-15;*;*;1.172;*;3.88E+06;2.76E+12;8.86E+31
1108;B1750-24;J1753-2501;0.528336;1.41E-14;*;*;5.309;*;5.93E+05;2.76E+12;3.78E+33
2164;J1823-1526;J1823-1526;1.625405;4.52E-15;*;*;8.157;*;5.70E+06;2.74E+12;4.15E+31
1938;J1355-5925;J1355-5925;1.213381;5.99E-15;*;*;7.208;*;3.21E+06;2.73E+12;1.32E+32
1109;J1948+2333;J1948+2333;0.528352;1.36E-14;*;*;8.048;*;6.17E+05;2.71E+12;3.63E+33
756;J1903+0601;J1903+0601;0.374117;1.92E-14;*;*;5.887;*;3.09E+05;2.71E+12;1.45E+34
1766;J0719-2545;J0719-2545;0.974725;7.28E-15;*;*;9.81;*;2.12E+06;2.70E+12;3.10E+32
2080;J1703-4851;J1703-4851;1.396405;5.07E-15;*;*;4.114;*;4.36E+06;2.69E+12;7.36E+31
1825;J1842-0153;J1842-0153;1.054228;6.72E-15;*;*;6.972;*;2.48E+06;2.69E+12;2.26E+32
1174;J1901+0355;J1901+0355;0.554756;1.27E-14;*;*;6.685;*;6.90E+05;2.69E+12;2.95E+33
507;B1718-35;J1721-3532;0.280424;2.52E-14;*;*;4.6;*;1.76E+05;2.69E+12;4.51E+34
261;J1938+2213;J1938+2213;0.166116;4.24E-14;*;*;3.419;*;6.20E+04;2.69E+12;3.66E+35
2296;J1702-4428;J1702-4428;2.123506;3.30E-15;*;*;11.151;*;1.02E+07;2.68E+12;1.36E+31
851;J1741-2054;J1741-2054;0.4137;1.70E-14;*;*;0.3;GRS:2FGL_J1741.9-2054[naa+12],XRS:Swift_;3.86E+05;2.68E+12;9.47E+33
2425;J2323+1241;J2323+1241;3.759491;1.85E-15;*;*;25;*;3.22E+07;2.67E+12;1.37E+30
2227;J2355+2246;J2355+2246;1.840986;3.78E-15;*;*;2.163;*;7.72E+06;2.67E+12;2.39E+31
