NAME;PSRJ;P0;P1;BINARY;PB;DIST;ASSOC;AGE;BSURF;EDOT
1773;J1905+0616;J1905+0616;0.989706;1.35E-13;*;*;4.952;*;1.16E+05;1.17E+13;5.51E+33
2190;J1632-4621;J1632-4621;1.709154;7.60E-14;*;*;10.101;*;3.56E+05;1.15E+13;6.01E+32
2460;J1840-0840;J1840-0840;5.309377;2.37E-14;*;*;5.095;*;3.55E+06;1.13E+13;6.25E+30
1685;J1851+0118;J1851+0118;0.906977;1.37E-13;*;*;5.648;*;1.05E+05;1.13E+13;7.23E+33
1753;J1524-5819;J1524-5819;0.961043;1.26E-13;*;*;7.546;*;1.21E+05;1.11E+13;5.60E+33
2445;J1901+0511;J1901+0511;4.600369;2.53E-14;*;*;5.831;*;2.88E+06;1.09E+13;1.03E+31
2448;J1858+0241;J1858+0241;4.693233;2.43E-14;*;*;5.15;*;3.06E+06;1.08E+13;9.29E+30
396;B1610-50;J1614-5048;0.231694;4.95E-13;*;*;5.148;*;7.42E+03;1.08E+13;1.57E+36
610;J0007+7303;J0007+7303;0.315873;3.60E-13;*;*;1.4;GRS:2FGL_J0007.0+7303[naa+12],XRS:RX_J00;1.39E+04;1.08E+13;4.51E+35
2455;J1307-6318;J1307-6318;4.962427;2.11E-14;*;*;10.783;*;3.72E+06;1.04E+13;6.83E+30
2410;J1554-5512;J1554-5512;3.418039;3.12E-14;*;*;6.397;*;1.74E+06;1.04E+13;3.08E+31
1914;J1755-2521;J1755-2521;1.175968;9.02E-14;*;*;3.444;*;2.07E+05;1.04E+13;2.19E+33
933;J1841-0524;J1841-0524;0.445749;2.34E-13;*;*;4.125;GRS:[sbc+19];3.02E+04;1.03E+13;1.04E+35
208;J1930+1852;J1930+1852;0.136855;7.51E-13;*;*;7;SNR:G54.1+0.3,XRS:;2.89E+03;1.03E+13;1.16E+37
207;J1124-5916;J1124-5916;0.135477;7.53E-13;*;*;5;SNR:G292.0+1.8,GRS:2FGL_J1124.6-5913[naa;2.85E+03;1.02E+13;1.19E+37
2440;B1845-19;J1848-1952;4.30819;2.33E-14;*;*;0.751;*;2.93E+06;1.01E+13;1.15E+31
1035;B2334+61;J2337+6151;0.49537;1.93E-13;*;*;0.7;SNR:G114.3+0.3[frs93];4.06E+04;9.91E+12;6.28E+34
1745;J1759-2549;J1759-2549;0.956549;9.96E-14;*;*;4.918;*;1.52E+05;9.88E+12;4.49E+33
522;J1413-6141;J1413-6141;0.285625;3.33E-13;*;*;8.494;*;1.36E+04;9.88E+12;5.65E+35
1935;J1542-5303;J1542-5303;1.207568;7.78E-14;*;*;5.37;*;2.46E+05;9.81E+12;1.74E+33
1738;J0922-4949;J0922-4949;0.950289;9.76E-14;*;*;2.698;*;1.54E+05;9.74E+12;4.49E+33
2401;J1842+0257;J1842+0257;3.088256;2.96E-14;*;*;5.04;*;1.65E+06;9.67E+12;3.97E+31
2451;J1444-6026;J1444-6026;4.758576;1.85E-14;*;*;5.823;*;4.07E+06;9.51E+12;6.79E+30
955;J1551-5310;J1551-5310;0.453448;1.95E-13;*;*;5.878;*;3.69E+04;9.51E+12;8.25E+34
1735;J1055-6022;J1055-6022;0.947558;9.24E-14;*;*;3.597;*;1.62E+05;9.47E+12;4.29E+33
2299;J1012-5830;J1012-5830;2.133591;3.77E-14;*;*;2.799;*;8.98E+05;9.07E+12;1.53E+32
2096;B0959-54;J1001-5507;1.436631;5.16E-14;*;*;0.3;*;4.41E+05;8.71E+12;6.87E+32
2483;J1652-4406;J1652-4406;7.707183;9.50E-15;*;*;5.108;*;1.29E+07;8.66E+12;8.19E+29
1427;B2000+32;J2002+3217;0.696761;1.05E-13;*;*;6.458;*;1.05E+05;8.66E+12;1.23E+34
2436;J1628-4828;J1628-4828;4.137539;1.75E-14;*;*;6.726;*;3.74E+06;8.62E+12;9.77E+30
2405;J1730-3353;J1730-3353;3.270242;2.20E-14;*;*;3.46;*;2.36E+06;8.57E+12;2.48E+31
