tindex,t,IJy,ampPeakPIfit,dAmpPeakPIfit,phiPeakPIfit_rm2,dPhiPeakPIfit_rm2,polAngle0Chan_deg,dPolAngle0Chan_deg,polAngleChan_deg,dPolAngleChan_deg,fracPol,alpha,alphaerr
331,5165061178.266254,0.026847,0.003527,0.000952,47.826317,2.547975,3.206445,27.671702,168.404994,7.736881,0.131374,-2.560111,0.616312
332,5165061180.267048,0.025894,0.002997,0.000952,3252.772207,2.998193,168.654944,32.543566,158.685957,9.099237,0.115751,-2.559715,0.638939
333,5165061182.267801,0.026302,0.003087,0.000949,1256.640315,2.901385,90.242544,31.426993,66.498894,8.808436,0.117382,-2.517432,0.623788
334,5165061184.268596,0.025972,0.003539,0.000961,24.595427,2.564711,145.391975,28.062337,50.117828,7.787950,0.136253,-2.691979,0.654187
335,5165061186.269349,0.026757,0.003598,0.000962,-2450.389682,2.525168,18.448539,27.651004,69.168686,7.667782,0.134469,-2.706108,0.636825
336,5165061188.270143,0.024393,0.002977,0.000936,635.029461,2.968876,44.976669,31.812565,29.968376,9.010225,0.122038,-2.339892,0.649925
337,5165061190.270937,0.028750,0.003527,0.000973,1673.198935,2.605461,78.404598,28.761668,100.725517,7.909408,0.122676,-2.859582,0.611748
338,5165061192.271690,0.026016,0.003283,0.000960,-2482.044609,2.759076,178.139349,30.142391,132.472649,8.376864,0.126207,-2.667009,0.649786
339,5165061194.272484,0.025971,0.003514,0.000957,3250.859370,2.569932,39.611958,28.003252,157.757143,7.799951,0.135320,-2.626838,0.645645
340,5165061196.273237,0.023838,0.002769,0.000924,-455.431181,3.150432,67.102005,33.431076,80.450310,9.566899,0.116175,-2.170806,0.644516
341,5165061198.274032,0.027926,0.003376,0.000963,0.994895,2.691436,79.917102,29.527456,98.843269,8.187689,0.120888,-2.707083,0.610281
342,5165061200.274785,0.025256,0.004000,0.000946,32.477190,2.232435,31.231386,24.118033,25.750053,6.775988,0.158383,-2.476379,0.644419
343,5165061202.275578,0.025321,0.002988,0.000930,1797.136819,2.937326,153.792254,31.325852,89.161751,8.920955,0.118016,-2.249740,0.615624
344,5165061204.276332,0.024521,0.003580,0.000931,2045.183667,2.454495,89.119329,26.227497,174.506695,7.462023,0.146009,-2.265156,0.637523
345,5165061206.277126,0.027089,0.003313,0.000946,-67.218780,2.696028,5.067935,29.125889,177.307350,8.182283,0.122289,-2.477777,0.600987
346,5165061208.277880,0.024142,0.003994,0.000930,-2120.771671,2.198018,79.430996,23.450252,102.565720,6.676831,0.165452,-2.252964,0.646068
347,5165061210.278673,0.027836,0.003398,0.000958,-1200.923815,2.662627,109.938399,29.058871,85.764252,8.083897,0.122062,-2.648993,0.605090
348,5165061212.279468,0.024531,0.002962,0.000940,-141.955760,2.995584,109.634913,32.301121,27.665615,9.119261,0.120766,-2.393718,0.652950
349,5165061214.280221,0.026293,0.003625,0.000944,-671.855102,2.459067,155.647206,26.564201,89.580383,7.473546,0.137871,-2.452771,0.616173
350,5165061216.281014,0.025204,0.002995,0.000939,208.352272,2.959327,44.024147,31.779948,127.306858,8.981507,0.118822,-2.376133,0.633377
351,5165061218.281768,0.028144,0.003189,0.000964,-382.322231,2.853269,38.303801,31.271130,151.403673,8.661126,0.113326,-2.728106,0.608165
352,5165061220.282562,0.025748,0.003229,0.000956,1206.279080,2.795195,115.063348,30.441588,170.070412,8.483796,0.125399,-2.617068,0.649954
353,5165061222.283316,0.028052,0.003695,0.000955,-117.339192,2.440793,54.283587,26.570732,35.098289,7.409224,0.131714,-2.607046,0.595377
354,5165061224.284109,0.025629,0.003588,0.000950,2789.802908,2.498746,152.228689,27.072954,76.774597,7.583427,0.139990,-2.528050,0.641520
355,5165061226.284863,0.027965,0.003256,0.000968,3116.458053,2.805118,16.034717,30.830061,55.209183,8.515887,0.116436,-2.777472,0.618300
356,5165061228.285657,0.023522,0.002976,0.000925,-2952.544729,2.932626,163.181121,31.157647,88.402863,8.913600,0.126529,-2.175718,0.653766
357,5165061230.286410,0.027241,0.002996,0.000956,-3201.036191,3.011563,101.513529,32.789589,17.891325,9.139940,0.109984,-2.613629,0.613920
