# ind,freq,flux,fluxerr
0,612.797,0.041,0.004
1,670.172,0.033,0.003
2,727.547,0.028,0.003
3,784.922,0.023,0.002
4,842.297,0.019,0.002
7,1014.422,0.011,0.001
