F0,F1,chi2,delta_chi2
0.000758612366939207,-3.0277430928797556e-18,246.76542916924754,174.96707720957653
0.000758612370800952,-3.0277430928797556e-18,249.16362014754392,177.3652681878729
0.0007586123746626969,-3.0277430928797556e-18,251.63924720963357,179.84089524996256
0.0007586123785244419,-3.0277430928797556e-18,254.1923103532751,182.3939583936041
0.0007586123823861868,-3.0277430928797556e-18,256.82280957602535,185.02445761635434
0.0007586123862479318,-3.0277430928797556e-18,259.53074487551424,187.73239291584323
0.0007586123901096767,-3.0277430928797556e-18,262.3161162494238,190.51776428975282
0.0007586123939714218,-3.0277430928797556e-18,265.1789236953697,193.38057173569868
0.0007586123978331668,-3.0277430928797556e-18,268.11916721093274,196.32081525126173
0.0007586124016949117,-3.0277430928797556e-18,271.13684679385005,199.33849483417904
0.0007586124055566567,-3.0277430928797556e-18,274.23196244169213,202.43361048202112
0.0007586124094184016,-3.0277430928797556e-18,277.40451415204706,205.60616219237605
0.0007586124132801466,-3.0277430928797556e-18,280.65450192269003,208.85614996301902
0.0007586124171418915,-3.0277430928797556e-18,283.98192575114695,212.18357379147594
0.0007586124210036366,-3.0277430928797556e-18,287.3867856350268,215.5884336753558
0.0007586124248653815,-3.0277430928797556e-18,290.8690815720776,219.0707296124066
0.0007586124287271265,-3.0277430928797556e-18,294.42881355986157,222.63046160019056
0.0007586124325888714,-3.0277430928797556e-18,298.0659815960239,226.2676296363529
0.0007586124364506164,-3.0277430928797556e-18,301.7805856781458,229.98223371847482
0.0007586124403123613,-3.0277430928797556e-18,305.5726258039836,233.7742738443126
0.0007586124441741063,-3.0277430928797556e-18,309.4421019710934,237.64375001142238
0.0007586124480358513,-3.0277430928797556e-18,313.3890141770794,241.59066221740838
0.0007586124518975963,-3.0277430928797556e-18,317.4133624196586,245.6150104599876
0.0007586124557593413,-3.0277430928797556e-18,321.51514669644047,249.71679473676946
0.0007586124596210862,-3.0277430928797556e-18,325.6943670049791,253.89601504530808
0.0007586124634828312,-3.0277430928797556e-18,329.9510233430119,258.15267138334093
0.0007586124673445761,-3.0277430928797556e-18,334.28511570816966,262.4867637484987
0.0007586124712063211,-3.0277430928797556e-18,338.69664409796115,266.8982921382902
0.000758612475068066,-3.0277430928797556e-18,343.1856085102108,271.3872565505398
0.000758612478929811,-3.0277430928797556e-18,347.7520089424558,275.9536569827848
0.000758612482791556,-3.0277430928797556e-18,352.3958453922462,280.5974934325752
0.000758612486653301,-3.0277430928797556e-18,357.11711785737543,285.31876589770445
0.0007586124905150459,-3.0277430928797556e-18,361.915826335407,290.11747437573604
0.0007586124943767909,-3.0277430928797556e-18,366.79197082392034,294.99361886424936
0.0007586124982385359,-3.0277430928797556e-18,371.7455513206571,299.94719936098613
0.0007586125021002808,-3.0277430928797556e-18,376.77656782322083,304.97821586354985
0.0007586125059620258,-3.0277430928797556e-18,381.88502032913595,310.086668369465
0.0007586125098237707,-3.0277430928797556e-18,387.0709088362146,315.2725568765436
0.0007586125136855158,-3.0277430928797556e-18,392.33423334198665,320.53588138231567
0.0007586125175472607,-3.0277430928797556e-18,397.6749938440164,325.8766418843454
0.0007586125214090057,-3.0277430928797556e-18,403.0931903401448,331.29483838047383
0.0007586125252707506,-3.0277430928797556e-18,408.5888228278457,336.79047086817474
0.0007586125291324956,-3.0277430928797556e-18,414.1618913047484,342.3635393450774
0.0007586125329942405,-3.0277430928797556e-18,419.8123957686142,348.0140438089432
0.0007586125368559855,-3.0277430928797556e-18,425.5403362169724,353.7419842573014
0.0007586125407177304,-3.0277430928797556e-18,431.34571264749644,359.54736068782546
0.0007586125445794755,-3.0277430928797556e-18,437.22852505773335,365.43017309806237
0.0007586125484412204,-3.0277430928797556e-18,443.1887734454941,371.39042148582314
0.0007586125523029654,-3.0277430928797556e-18,449.2264578082938,377.4281058486228
0.0007586125561647104,-3.0277430928797556e-18,455.3415781437191,383.54322618404814
0.0007586125600264553,-3.0277430928797556e-18,461.5341344495466,389.73578248987565
0.0007586125638882003,-3.0277430928797556e-18,467.804126723354,396.005774763683
0.0007586125677499452,-3.0277430928797556e-18,474.1515549626477,402.3532030029767
0.0007586125716116903,-3.0277430928797556e-18,480.57641916526876,408.7780672055978
0.0007586125754734352,-3.0277430928797556e-18,487.0787193287801,415.2803673691091
0.0007586125793351802,-3.0277430928797556e-18,493.6584554506575,421.86010349098655
0.0007586125831969251,-3.0277430928797556e-18,500.3156275288086,428.5172755691376
0.0007586125870586701,-3.0277430928797556e-18,507.05023556071615,435.25188360104517
0.000758612590920415,-3.0277430928797556e-18,513.8622795439555,442.06392758428456
0.00075861259478216,-3.0277430928797556e-18,520.7517594763326,448.9534075166616
0.0007586125986439049,-3.0277430928797556e-18,527.7186753553677,455.92032339569676
0.00075861260250565,-3.0277430928797556e-18,534.7630271786169,462.9646752189459
0.000758612606367395,-3.0277430928797556e-18,541.8848149439068,470.0864629842358
0.0007586126102291399,-3.0277430928797556e-18,549.0840386487944,477.2856866891234
0.0007586126140908849,-3.0277430928797556e-18,556.360698290763,484.56234633109204
0.0007586126179526298,-3.0277430928797556e-18,563.7147938677455,491.9164419080745
0.0007586126218143748,-3.0277430928797556e-18,571.1463253771842,499.34797341751323
0.0007586126256761197,-3.0277430928797556e-18,578.6552928166335,506.8569408569625
0.0007586126295378647,-3.0277430928797556e-18,586.2416961839643,514.4433442242934
0.0007586126333996097,-3.0277430928797556e-18,593.9055354766482,522.1071835169772
0.0007586126372613547,-3.0277430928797556e-18,601.6468106923179,529.8484587326469
