# Barycentered_MJD S/mJy
59836.472567 -1.921
59836.472682 -0.750
59836.472798 -0.371
59836.472912 0.360
59836.473028 0.725
59836.473143 -0.373
59836.473258 1.612
59836.473373 1.037
59836.473489 0.395
59836.473604 -1.526
59836.473719 1.620
59836.473835 -0.198
59836.473949 0.177
59836.474065 2.448
59836.474180 -0.345
59836.474295 0.187
59836.474410 1.842
59836.474526 0.770
59836.474640 1.545
59836.474756 0.626
59836.474871 -0.516
59836.474986 -0.472
59836.475101 2.595
59836.475217 -0.014
59836.475332 0.985
59836.475447 1.092
59836.475563 0.073
59836.475677 2.341
59836.475793 3.471
59836.475908 1.071
59836.476023 0.149
59836.476138 3.513
59836.476254 7.483
59836.476368 9.904
59836.476484 3.257
59836.476599 4.445
59836.476714 4.777
59836.476829 7.665
59836.476945 15.745
59836.477060 17.572
59836.477175 7.460
59836.477291 0.231
59836.477405 0.912
59836.477521 4.426
59836.477636 3.244
59836.477751 1.492
59836.477866 -0.312
59836.477982 -0.323
59836.478096 0.233
59836.478212 -0.400
59836.478327 -0.190
59836.478442 -1.006
59836.478557 -1.428
59836.478673 -2.911
59836.478788 -0.146
59836.478903 -0.963
59836.479019 0.552
59836.479133 1.071
59836.479249 -1.226
59836.479364 0.307
